pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
102.0,-55.2,0.0,top,AE1,,,malenki_antenna,~,tht
98.0,-73.0,90.0,top,C1,CL10A106MA8NRNC,,C_0603_1608Metric,10uF 25V,smt
102.0,-58.3,-90.0,top,C10,0402CG220J500NT,,C_0402_1005Metric,22pF,smt
101.0,-58.3,-90.0,top,C11,CL05C100JB5NNNC,,C_0402_1005Metric,10pF,smt
97.8,-56.7,180.0,top,C12,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
97.5,-58.5,90.0,top,C13,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
95.7,-64.4,180.0,top,C14,CL05C100JB5NNNC,,C_0402_1005Metric,10pF,smt
94.9,-59.9,0.0,top,C15,CL05C100JB5NNNC,,C_0402_1005Metric,10pF,smt
104.3,-58.3,90.0,top,C16,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
103.2,-58.3,90.0,top,C17,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
97.9,-61.3,0.0,top,C18,0402B561K500NT,,C_0402_1005Metric,560pF,smt
95.7,-58.3,90.0,top,C19,CL05B103KB5NNNC,,C_0402_1005Metric,10nF,smt
104.725,-71.5,0.0,top,C2,CL10A106MA8NRNC,,C_0603_1608Metric,10uF 25V,smt
105.6,-59.325,90.0,top,C20,CL10A225KO8NNNC,,C_0603_1608Metric,2.2uF,smt
105.6,-62.4,-90.0,top,C21,CL10A225KO8NNNC,,C_0603_1608Metric,2.2uF,smt
98.0,-63.75,180.0,top,C22,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
101.3,-66.05,-90.0,top,C23,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
102.0,-72.1,-90.0,top,C3,CL10A106MA8NRNC,,C_0603_1608Metric,10uF 25V,smt
92.7,-67.5,90.0,top,C4,CL05B104KB54PNC,,C_0402_1005Metric,100nF,smt
93.5,-73.0,90.0,top,C5,CL10A106MA8NRNC,,C_0603_1608Metric,10uF 25V,smt
89.0,-73.0,90.0,top,C6,CL10A106MA8NRNC,,C_0603_1608Metric,10uF 25V,smt
100.3,-56.7,180.0,top,C9,0402CG1R0C500NT,,C_0402_1005Metric,1pF,smt
89.8,-58.0,0.0,top,D1,19-217/BHC-ZL1M2RY/3T,,LED_0603_1608Metric,LED Blue,smt
93.3,-58.0,0.0,top,D2,KT-0603R,,LED_0603_1608Metric,LED Red,smt
104.5,-75.5,0.0,top,J1,,,malenkipower,Conn_01x02_Male-Connector,tht
88.4,-62.4,90.0,bottom,J2,,,SOIC_clipProgSmall,Conn_01x08_Male,tht
89.7,-68.0,-90.0,top,J3,,,wirepad_2,Conn_01x02,tht
100.0,-79.1,180.0,top,J4,,,PinHeader_1x02_P2.54mm_BIG1,Conn_01x02_Male-Connector,tht
95.5,-79.1,180.0,top,J5,,,PinHeader_1x02_P2.54mm_BIG1,Conn_01x02_Male-Connector,tht
91.0,-79.1,180.0,top,J6,,,PinHeader_1x02_P2.54mm_BIG1,Conn_01x02_Male-Connector,tht
101.4,-55.7,180.0,top,L1,MLK1005S2N7ST000,,L_0402_1005Metric,2.7 nH,smt
103.7,-56.7,0.0,top,L2,LQW15AN4N7D10D,,L_0402_1005Metric,4.7nH,smt
99.3,-58.9,180.0,top,L3,LQW15AN4N7D10D,,L_0402_1005Metric,4.7nH,smt
89.8,-56.4,0.0,top,R1,0402WGF4700TCE,,R_0402_1005Metric,470Ω,smt
93.3,-56.4,0.0,top,R2,0402WGF1001TCE,,R_0402_1005Metric,1kΩ,smt
98.0,-60.2,0.0,top,R25,0402WGF2000TCE,,R_0402_1005Metric,200Ω,smt
100.8,-67.75,180.0,top,R3,0402WGF1003TCE,,R_0402_1005Metric,100kΩ,smt
100.8,-68.75,0.0,top,R4,0402WGF1002TCE,,R_0402_1005Metric,10kΩ,smt
91.7,-68.9,90.0,top,R5,0402WGF4700TCE,,R_0402_1005Metric,470Ω,smt
92.0,-64.8,0.0,top,R6,0402WGF4700TCE,,R_0402_1005Metric,470Ω,smt
92.775,-69.9,-90.0,top,R7,0402WGF1002TCE,,R_0402_1005Metric,10kΩ,smt
91.6,-66.3,-90.0,top,R8,0402WGF1002TCE,,R_0402_1005Metric,10kΩ,smt
101.7,-62.1,-90.0,top,U1,A71X05AQFI/Q,,a7105-QFN-20,A7105,smt
104.35,-68.1,0.0,top,U2,HT7333-1-MS,,SOT-89-3,"300mA Fixed 3.3V Positive 24V SOT-89 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",smt
95.6,-67.6,0.0,top,U3,ATTINY1616-MNR,,VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm,ATTiny1616-MNR,smt
100.0,-73.0,-90.0,top,U4,DRV8231DSGR,,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,DRV8231DSGR,smt
95.5,-73.0,-90.0,top,U5,DRV8231DSGR,,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,DRV8231DSGR,smt
91.0,-73.0,-90.0,top,U6,DRV8231DSGR,,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,DRV8231DSGR,smt
95.3,-62.1,-90.0,top,Y1,Q24FA20H00512,,Crystal_SMD_2520-4Pin_2.5x2.0mm,16mhz Seiko Epson Q24FA20H0051200,smt
