Designator,Mid X,Mid Y,Rotation,Layer
AE1,103.15,-55.2,0.0,top
C1,98.0,-73.0,90.0,top
C10,102.0,-58.3,270.0,top
C11,101.0,-58.3,270.0,top
C12,97.8,-56.7,180.0,top
C13,97.5,-58.5,90.0,top
C14,95.7,-64.4,180.0,top
C15,94.9,-59.9,0.0,top
C16,104.3,-58.3,90.0,top
C17,103.2,-58.3,90.0,top
C18,97.9,-61.3,0.0,top
C19,95.7,-58.3,90.0,top
C2,104.725,-71.5,0.0,top
C20,105.6,-59.325,90.0,top
C21,105.6,-62.4,270.0,top
C22,98.0,-63.75,180.0,top
C23,101.3,-66.05,270.0,top
C3,102.0,-72.1,270.0,top
C4,92.7,-67.5,90.0,top
C5,93.5,-73.0,90.0,top
C6,89.0,-73.0,90.0,top
C9,100.3,-56.7,180.0,top
D1,89.8,-58.0,0.0,top
D2,93.3,-58.0,0.0,top
J1,104.5,-76.77,0.0,top
J2,89.5275,-62.4,90.0,bottom
J3,89.7,-68.0,270.0,top
J4,100.0,-77.83,180.0,top
J5,95.5,-77.83,180.0,top
J6,91.0,-77.83,180.0,top
L1,101.4,-55.7,180.0,top
L2,103.7,-56.7,0.0,top
L3,99.3,-58.9,180.0,top
R1,89.8,-56.4,0.0,top
R2,93.3,-56.4,0.0,top
R25,98.0,-60.2,0.0,top
R3,100.8,-67.75,180.0,top
R4,100.8,-68.75,0.0,top
R5,91.7,-68.9,90.0,top
R6,92.0,-64.8,0.0,top
R7,92.775,-69.9,270.0,top
R8,91.6,-66.3,270.0,top
U1,101.7,-62.1,270.0,top
U2,104.35,-68.1,180.0,top
U3,95.6,-67.6,0.0,top
U4,100.0,-73.0,270.0,top
U5,95.5,-73.0,270.0,top
U6,91.0,-73.0,270.0,top
Y1,95.3,-62.1,270.0,top
